rank,description,company_name,state,industry,country,revenue,profits,assets,market_value,profits_rank,assets_rank,market_value_rank,employees,revenue_rank,ceo_name,ceo_title,city,year_founded,web_site
488,"The Sherwin-Williams Co. engages in the development, manufacture, distribution, and sale of paint and coatings. It operates through the following segments: Paint Stores Group, Consumer Brands Group, Performance Coatings Group, and Administrative. The Paint Stores Group segment caters to the needs of architectural and industrial paint contractors and do-it-yourself homeowners. The Consumer Brands Group segment manufactures and distributes a broad portfolio of branded and private-label architectural paint, stains, varnishes and other industrial products. The Performance Coatings Group segment develops and sells industrial coatings for wood finishing and general industrial applications. The Administrative segment refers to the administrative expenses and assets of the company’s new global headquarters and research and development center, both currently under construction. The company was founded by Henry Sherwin and Edward Williams in 1866 and is headquartered in Cleveland, OH.",Sherwin-Williams,Ohio,Chemicals,United States,23936,2599.3,26379,74015,478,1319,313,64249,579,Heidi G. Petz,Chief Executive Officer,Cleveland,1866,http://www.sherwin-williams.com
490,"Arthur J. Gallagher & Co. engages in the provision of insurance brokerage, reinsurance brokerage, consulting, and third-party claims settlement and administration services. It operates through the following segments: Brokerage, Risk Management, and Corporate. The Brokerage segment consists of retail and wholesale insurance brokerage operations. The Risk Management segment provides contract claim settlement and administration services. The Corporate segment manages clean energy and other investments. The company was founded by Arthur J. Gallagher in 1927 and is headquartered in Rolling Meadows, IL.",Gallagher,Illinois,Insurance,United States,14972,1611.5,78301,51367,733,557,457,72000,947,Patrick J. Gallagher,Chief Executive Officer,Rolling Meadows,1927,http://www.ajg.com
490,"Suzuki Motor Corp. engages in the research, development, design, manufacture, sale, and distribution of motorcycles, passenger cars, commercial vehicles and special machines. It operates through the following segments: Motorcycles Business, Automobiles Business, Marine Business and Other Business. The Motorcycles Business segment produces and merchandises motorcycles and all terrain vehicles. The Automobiles Business segment manufactures and sells light, small and regular vehicles. The Marine Business segment includes special and industrial machines such as outboard motors. The Other Business segment products are electric wheelchairs, solar power generation and real estate The company was founded by Michio Suzuki in October 1909 and is headquartered in Hamamatsu, Japan.",Suzuki Motor,,Consumer Durables,Japan,41760,2915,41717,22426,419,955,1001,,319,Toshihiro Suzuki,Chief Executive Officer,Hamamatsu,1920,http://www.globalsuzuki.com
492,"OMV AG engages in the production, processing, and supply of oil & gas, and the provision of chemical solutions. It operates through the following segments: Energy, Fuels & Feedstock, and Chemicals & Materials. The Energy segment includes oil and gas processing and development which focuses on the regions of Central and Eastern Europe, North Sea, Middle East, Africa, and Asia-Pacific. The Fuels & Feedstock segment refines and markets crude, petrochemicals, and other feedstock. The Chemicals and Materials segment involves the sale of polyethylene. The company was founded on July 3, 1956 and is headquartered in Vienna, Austria.",OMV Group,,Oil & Gas Operations,Austria,27749,2735.8,49591,23867,453,824,943,22315,489,Alfred Stern,Chief Executive Officer,Vienna,1956,http://www.omv.com
493,"First Citizens BancShares, Inc. is a bank holding company, which provides retail and commercial banking services through its subsidiaries. The company operates under the following segments: General Banking, Commercial Banking, Rail, and Corporate. The General Banking delivers services to individuals through branch networks. The Commercial Banking provides lending, leasing and other financial and advisory services to small and middle market companies. The Rail segment deals with the provision of equipment leasing and secured financing for railroads and shippers. The Corporate segment is comprised of investment securities and interest bearing cash. The company was founded on August 7, 1986 and is headquartered in Raleigh, NC.",First Citizens Bank (NC),North Carolina,Banking,United States,14409,2257,235959,22819,535,207,988,18141,988,Frank B. Holding,Chief Executive Officer,Raleigh,1898,http://www.firstcitizens.com
494,"Heidelberg Materials AG engages in the production and distribution of cement, aggregates, ready-mixed concrete, and asphalt. It operates through the following geographical segments: Western and Southern Europe, Northern and Eastern Europe-Central Asia, North America, Asia-Pacific, Africa-Eastern Mediterranean Basin, and Group Services. The Western and Southern Europe segment includes Belgium, Netherlands, France, Germany, Italy, Spain, and the United Kingdom. The Northern and Eastern Europe-Central Asia segment consists of Denmark, Iceland, Norway, Sweden, and the Baltic States, as well as the cross-border Nordic Precast Group AB and Mibau Group, Bosnia-Herzegovina, Bulgaria, Croatia, Czechia, Georgia, Greece, Hungary, Kazakhstan, Poland, Romania, Russia, and Slovakia. The North America segment focuses on Canada and USA. The Asia-Pacific segment covers Australia, Bangladesh, Brunei, China, India, Indonesia, Malaysia, Singapore, and Thailand. The Africa-Eastern Mediterranean Basin segment represents Benin, Burkina Faso, DR Congo, Egypt, the Gambia, Ghana, Israel, Liberia, Morocco, Mozambique, South Africa, Tanzania, Togo, and Turkey. The Group Services segment is involved in international trading activities. The company was founded by Johann Philipp Schifferdecker in 1873 and is headquartered in Heidelberg, Germany.",HeidelbergCement,,Construction,Germany,24220,2190.5,43672,34288,554,918,676,48973,571,Ralph Dominik von Achten,Chief Executive Officer,Heidelberg,1874,http://www.heidelbergcement.com
495,"Kotak Mahindra Bank Ltd. Engages in the provision of commercial banking services. It operates through the following segments: Treasury, Balance Sheet Management Unit (BMU) and Corporate Centre; Retail Banking; Corporate or Wholesale Banking; Vehicle Financing, Other Lending Activities; Broking; Advisory and Transactional Services; Asset Management; Insurance and Other Banking Business. The Treasury, BMU amd Corporate Centre segment involves in money market, forex market, derivatives, investments and primary dealership of government securities, and asset liability management. The Retail Banking segment refers to lending, branch banking, and credit cards. The Corporate/Wholesale Banking segment includes wholesale borrowings, lendings and other related services to the corporate sector which are not included under retail banking. The Vehicle Financing segment pertains to retail vehicle finance and wholesale trade finance to auto dealers. The Other Lending Activities segment manages financing against securities, securitization, and other loans and services. The Broking segment offers stock broking services. The Advisory and Transactional Services segment accomodates financial advisory and transactional services such as mergers and acquisition advice, and equity and debt issue management services. The Asset Management segment administers investments on behalf of clients and funds. The Insurance segment provides life insurance and general insurance. The Other Banking Business segment engages in other business not classified above. The company was founded by Uday Suresh Kotak on November 21, 1985 and is headquartered in Mumbai, India.",Kotak Mahindra Bank,,Banking,India,12174,2182.9,105785,40143,557,428,583,,1152,Ashok Valiram Vaswani,Chief Executive Officer,Mumbai,1985,http://www.kotak.bank.in
496,"Intact Financial Corp. engages in the provision of property and casualty insurance in Canada and specialty insurance in North America. It operates through the following segments: Canada, United Kingdom and International, United States, and Corporate and Other. The Canada segment consists of automobile, home, and business insurance contracts to individuals and businesses in Canada distributed through a wide network of brokers and directly to consumers. The United Kingdom and International segment is involved in the automobile, home, pet, and business insurance contracts to businesses in the UK, Europe, and Ireland as well as internationally through the company’s global network. The United States segment focuses on specialty contracts mainly to medium-sized businesses in the United States. The Corporate and Other segment refers to investment management, treasury and capital management activities, corporate reinsurance, certain internal agreements, as well as other corporate activities. The company was founded 1809 and is headquartered in Toronto, Canada.",Intact Financial,,Insurance,Canada,21761,2489.7,45045,33939,501,902,684,32000,643,Charles J. G. Brindamour,Chief Executive Officer,Toronto,1809,http://www.intactfc.com
497,"Sony Group Corp. engages in the development, design, manufacture, and sale of electronic equipment, instruments, devices, game consoles, and software for consumers, professionals and industrial markets. It operates through the following segments: Game and Network Services, Music, Pictures, Entertainment Technology & Services, Imaging and Sensing Solutions, Financial Services, and Others. The Game and Network Services segment deals with gaming machines, software and network services. The Music segment produces and publishes music and provides image media platforms. The Pictures segment handles film production, television program creation, and media networks. The Home Entertainment and Sound segment offers LCD televisions, home audio, Blu-ray Disc players and recorders, and memory-based portable audio devices. The Imaging and Sensing Solutions segment includes the image sensors business. The Financial Services segment manages the life insurance and non-life insurance operations and banking business. The Others segment consists of various operating activities, including the disc manufacturing and recording media businesses. The company was founded by Akio Morita and Masaru Ibuka on May 7, 1946 and is headquartered in Tokyo, Japan.",Sony Group,,"Semiconductors, Electronics, Electrical Engineering",Japan,82815,-2169.1,98582,133206,,446,151,113000,133,Hiroki Totoki,Chief Executive Officer,Tokyo,1946,http://www.sony.com
498,"Reckitt Benckiser Group Plc engages in the manufacture and trade of consumer brand products including Air Wick, Calgon, Cillit Bang, Clearasil, Dettol, Durex, Enfamil, Finish, Gaviscon, Harpic, Lysol, Mortein, Mucinex, Nurofen, Nutramigen, Strepsils, Vanish, Veet, and Woolite. It operates through the following segments: Hygiene, Health, and Nutrition. The company was founded by Isaac Reckitt in 1840 and is headquartered in Slough, the United Kingdom.",Reckitt Benckiser Group,,Household & Personal Products,United Kingdom,18721,4193.5,33718,39187,281,1111,603,,739,Kris Licht,Chief Executive Officer,Slough,1823,http://www.rb.com
499,"Woodside Energy Group Ltd. engages in the exploration, evaluation, development, and production of hydrocarbon and oil and gas properties. It operates through the following segments: North West Shelf, Pluto, Australia Oil, Wheatstone, Development, and Others. The North West Shelf segment produces liquefied natural gas, pipeline natural gas, condensate, liquefied petroleum gas and crude oil from the North West Shelf ventures. The Pluto segment develops liquefied natural gas in assigned permit areas. The Australia Oil segment is involved in the exploration, evaluation, development, production and sale of crude oil in assigned permit areas. The Wheatstone segment is involved in the exploration, evaluation, and development of liquefied natural gas, pipeline natural gas, and condensate. The Development segment includes the exploration of gas resources in Scarborough, Sangomar, and other project areas. The Other segment is composed of the activities undertaken by exploration, international and Sunrise Business Units. The company was founded on July 26, 1954 and is headquartered in Perth, Australia.",Woodside Energy Group,,Oil & Gas Operations,Australia,12965,2717.3,66501,42386,457,641,552,4693,1085,Elizabeth Westcott,Chief Executive Officer,Perth,1971,http://www.woodside.com.au
500,"BCE, Inc. is a telecommunications and media company, which provides communication services to residential, business, and wholesale customers. It operates through the Bell Communication and Technology Services (Bell CTS) and bell media segments. The Bell CTS segment provides a wide range of communication products and services to consumers, businesses and government customers across Canada. The Bell Media segment includes conventional, specialty and pay television, digital media, radio broadcasting services, and out-of-home advertising services. The company was founded on February 25, 1970 and is headquartered in Verdun, Canada.",BCE,,Telecommunications Services,Canada,17876,4661,58312,22174,245,712,1012,38683,784,Mirko Bibic,Chief Executive Officer,Verdun,1970,http://www.bce.ca
500,"Venture Global, Inc. engages in the provision of United States liquefied natural gas sourced from resource rich North American natural gas basins. It operates through the following segments: Calcasieu Project, Plaquemines Project, CP2 Project, and Sales and shipping. The company was founded by Michael Sabel and Robert Pender in 2023 and is headquartered in Arlington, VA.",Venture Global,Virginia,Oil & Gas Operations,United States,15474,2793,56300,35358,442,730,663,2000,918,Michael A. Sabel,Chief Executive Officer,Arlington,2023,
502,"Canadian National Railway Co. engages in rail and related transportation business. Its services include rail, intermodal, trucking, supply chain services, business development, and maps & network. Its offers their services in automotive, coal, fertilizer, food & beverages, forest products, dimensional loads, grain, metals & minerals, and petroleum & chemicals industries. The company was founded on June 6, 1919 and is headquartered in Montreal, Canada.",Canadian National Railway,,Transportation,Canada,12503,3404.2,42609,68385,355,934,344,23839,1123,Tracy A. Robinson,Chief Executive Officer,Montréal,1832,http://www.cn.ca
503,"NN Group NV is a financial services company, which engages in providing retirement services, pensions, insurance, banking, and investments. Its brands include Nationale-Nederlanden, NN, OHRA, Movir, AZL, BeFrank, ABN AMRO Verzekeringen, and Woonnu. It operates through the following segments: Netherlands Life, Netherlands Non-Life, Insurance Europe, Japan Life, Banking, and Others. The Netherlands Life segment offers group life and individual life insurance products. The Netherlands Non-Life segment covers non-life insurance products such as disability and accident, fire, motor, and transport. The Insurance Europe segment includes life insurance, pension products and non-life insurance and retirement services in the Central and Rest of Europe. The Japan Life segment manages corporate owned life insurance business. The Other segment covers the Japan Closed Block VA, reinsurance, and items related to capital management and the head office. The company was founded in 1845 and is headquartered in The Hague, the Netherlands.",NN Group,,Insurance,Netherlands,21142,1248.2,240659,23095,918,202,979,16188,663,David Knibbe,Chief Executive Officer,The Hague,1845,http://www.nn-group.com
504,"Trane Technologies Plc engages in providing solutions to buildings, homes, and transportation. It operates through the following business segments: Americas, EMEA, and Asia Pacific. The Americas segment encompasses commercial heating and cooling systems, building controls, and energy services and solutions, residential heating and cooling, and transport refrigeration systems, and solutions in North America and Latin America regions. The EMEA segment includes heating and cooling systems, services and solutions for commercial buildings, and transport refrigeration systems and solutions in Europe, Middle East, and Africa regions. The Asia Pacific segment is involved in heating and cooling systems, services and solutions for commercial buildings and transport refrigeration systems and solutions in Asia Pacific region. The company was founded in 1871 and is headquartered in Swords, Ireland.",Trane Technologies,,Capital Goods,Ireland,21603,2898.1,22755,103144,424,1478,213,44000,649,David S. Regnery,Chief Executive Officer,Swords,1885,http://www.tranetechnologies.com
505,"Sysco Corp. engages in the selling, marketing, and distribution of food products to restaurants, healthcare and educational facilities, and lodging establishments. It operates through the following segments: U.S. Foodservice Operations, International Foodservice Operations, SYGMA, and Other. The U.S. Foodservice Operations segment consists of U.S. Broadline operations, custom-cut meat and seafood companies, FreshPoint, and European Imports. The International Foodservice Operations segment includes operations outside of the United States which distribute a full line of food products and a wide variety of non-food products. The SYGMA segment represents U.S. customized distribution operations serving quick-service chain restaurant customer locations. The Other segment covers hotel supply operations. The company was founded by John F. Baugh in 1969 and is headquartered in Houston, TX.",Sysco,Texas,Food Markets,United States,83567,1736,27983,34702,692,1272,673,75000,130,Kevin P. Hourican,Chief Executive Officer,Houston,1969,http://www.sysco.com
506,"Entergy Corp. is a holding company, which engages in providing electric and natural gas services. It operates through the Utility, and Parent and Other segments. The Utility segment includes the generation, transmission, distribution, and sale of electric power in portions of Arkansas, Mississippi, Texas, and Louisiana. The Parent and Other segment refers to the parent company, Entergy Corporation, and other business activities. The company was founded by Harvey Couch on November 13, 1913 and is headquartered in New Orleans, LA.",Entergy,Louisiana,Utilities,United States,13287,1801.7,75804,49917,660,572,476,12233,1060,Andrew S. Marsh,Chief Executive Officer,New Orleans,1913,http://www.entergy.com
507,"Telefonaktiebolaget LM Ericsson engages in the provision of telecommunications equipment and related services to mobile and fixed network operators. It operates through the following segments: Networks, Cloud Software, Services, Enterprise, and Other. The Networks segment supports all radio-access technologies and offers hardware, software and related services for both radio access and transport. The Cloud Software segment offers solutions for core networks, business and operational support systems, network design and optimization, and managed network services. The Other segment refers to the media business and other non-allocated business. Segment-level information has also been presented to Other. The company was founded by Lars Magnus Ericsson in 1876 and is headquartered in Kista, Sweden.",Ericsson,,Technology Hardware & Equipment,Sweden,24481,2667.3,30483,41735,466,1197,559,88826,557,Erik Börje Ekholm,Chief Executive Officer,Kista,1876,http://www.ericsson.com
507,"Woori Financial Group, Inc. engages in providing banking and other financial services. The company was founded in April 2001 and is headquartered in Seoul, South Korea.",Woori Financial Group,,Banking,South Korea,20412,2079.2,399951,15213,579,123,1390,,687,Jong-Yong Yim,Chief Executive Officer,Seoul,2001,http://www.woorifg.com
509,"Welltower, Inc. is a health care infrastructure company, which engages in seniors housing operations, post-acute providers and health systems to fund the real estate infrastructure. The company's operating business segments include Seniors Housing Operating, Triple-Net, and Outpatient Medical. The Seniors Housing Operating segment operates properties including seniors apartments, independent living and independent supportive living, continuing care retirement communities, and assisted living, Alzheimer's dementia care and includes care homes with or without nursing. The Triple-Net segment properties offer services including independent living & supportive living (Canada), assisted living, continuing care retirement communities, Alzheimer's/dementia care and care homes with or without nursing (U.K.), and long-term/post-acute care. The Outpatient Medical segment invests in and operates outpatient medical buildings including physician offices, ambulatory surgery centers, diagnostic facilities, outpatient services and/or labs. The company was founded in 1970 and is headquartered in Toledo, OH.",Welltower,Ohio,Diversified Financials,United States,11755,1407.6,67221,150882,829,638,132,712,1191,Shankh S. Mitra,Chief Executive Officer,Toledo,1970,http://www.welltower.com
510,"Emaar Properties PJSC engages in the development of real estate properties. Its property portfolio includes master-planned communities, shopping malls, hostels and resorts, entertainment, commercial leasing, and industries and investment. The company operates through the following segments: Real Estate, Leasing & Related Activities, and Hospitality. The Real Estate segment develops and sells condominiums, villas, commercial units and plots and lands. The Leasing & Related Activities segment develops, leases and manages malls, retail, commercial and residential spaces. Hospitality segment develops, owns and manages hotels, serviced apartments and leisure activities. Emaar Properties was founded by Mohamed Ali Rashed Al-Abbar on June 23, 1997 and is headquartered in Dubai, United Arab Emirates.",Emaar Properties,,Construction,United Arab Emirates,14461,5142.2,53166,28061,217,770,822,,984,Amit Jain,Chief Executive Officer,Dubai,1997,http://www.emaar.com
511,"Coca-Cola Europacific Partners plc engages in the distribution and sale of non-alcoholic ready-to-drink beverages. It operates through the following geographical segments: Iberia, Germany, Great Britain, France, Belgium and Luxembourg, Netherlands, Norway, Sweden, and Iceland. The Iberia segment refers to Spain, Portugal, and Andorra. The France segment includes continental France and Monaco. The company was founded on August 4, 2015 and is headquartered in Uxbridge, the United Kingdom.",Coca-Cola Europacific Partners,,"Food, Drink & Tobacco",United Kingdom,23615,2197.2,35083,40042,551,1075,585,39000,588,Damian Paul Gammell,Chief Executive Officer,Uxbridge,2015,http://www.cocacolaep.com
512,"Saudi Energy Co. engages in the generation and distribution of electricity power. It operates through the following business segments: Electric Power Generation, Electricity Transmission, and Distribution and Customers Services. The company was founded on April 5, 2000 and is headquartered in Riyadh, Saudi Arabia.",Saudi Electricity,,Utilities,Saudi Arabia,27738,1281.8,173183,18986,892,255,1166,,491,Khaled bin Salim Al Ghamdi,Chief Executive Officer,Riyadh,2000,http://www.se.com.sa
513,"Corning, Inc. engages in the provision of glass for notebook computers, flat panel desktop monitors, display televisions, and other information display applications, carrier network and enterprise network products for the telecommunications industry, ceramic substrates for gasoline and diesel engines in automotive and heavy-duty vehicle markets, laboratory products for the scientific community and polymer products for biotechnology applications, optical materials for the semiconductor industry and the scientific community, and polycrystalline silicon products and other technologies. It operates through the following segments: Optical Communications, Display, Specialty Materials, Automotive, and Life Sciences. The Optical Communications segment is classified into two main product groupings: carrier and enterprise network. The carrier network group consists of products and solutions for optical-based communications infrastructure for services such as video, data, and voice communications. The enterprise network group consists primarily of optical-based communication networks sold to businesses, governments, and individuals for their own use. The Display Technologies segment manufactures glass substrates for flat panel displays, including organic light-emitting diodes and liquid crystal displays that are used primarily in televisions, notebook computers, desktop monitors, tablets, and handheld devices. The Specialty Materials segment is involved in the manufacture of products that provide material formulations for glass, glass ceramics and crystals, and precision metrology instruments and software. The Automotive segment manufactures ceramic substrates and filter products for emissions control in mobile applications around the world as well as technical glass and optic products and solutions for the interior and exterior of vehicles. The Life Sciences segment develops, manufactures, and supplies laboratory products. The company was founded by Amory Houghton Sr. in 1851 and is headquartered in Corning, NY.",Corning,New York,Technology Hardware & Equipment,United States,16321,1810,31253,165079,655,1171,112,67200,869,Wendell P. Weeks,Chief Executive Officer,Corning,1851,http://www.corning.com
514,"Cheniere Energy, Inc. engages in liquefied natural gas (LNG) related businesses. It owns and operates LNG terminals, develops, constructs, and operates liquefaction projects near Corpus Christi, Texas, and at the Sabine Pass LNG terminal. The company was founded by Charif Souki in 1996 and is headquartered in Houston, TX.",Cheniere Energy,Texas,Oil & Gas Operations,United States,20955,1464,46845,50678,804,869,468,1717,672,Jack Fusco,Chief Executive Officer,Houston,1983,http://www.cheniere.com
514,"Chery Automobile Co., Ltd. manufactures, assembles, distributes, designs, develops and sells a diverse and expanding portfolio of passenger vehicles and automotive parts and components in the PRC and overseas. It offers vehicles such as passenger, commercial, sport utility, multi-purpose, and minivans. Its brands include chery, jetour, exceed, icar and luxeed. The company was founded by TongYue Yin and JianHui Lu on January 8, 1997 and is headquartered in Wuhu, China.",Chery Automobile,,Consumer Durables,China,41934,2608.5,40392,21439,476,976,1044,70103,317,Yin Tongyue,CEO,Wuhu,1997,http://www.chery.cn
516,"PT Bank Mandiri (Persero) Tbk engages in providing general banking services. It operates through the following segments: Corporate Banking, Commercial Banking, Institutional Banking, Retail Banking, and Treasury and International Banking. It operates through the following geographical segments: Indonesia, Asia, Western Europe, and Cayman Islands. The Asia segment include Singapore, Malaysia, Hong Kong, Timor Leste, and Shanghai. The Western Europe segment refers to England. The company was founded in 1824 and is headquartered in Jakarta, Indonesia.",Bank Mandiri,,Banking,Indonesia,12131,3525.8,143166,22423,342,311,1002,38751,1164,Ahmad Riduan,Chief Executive Officer,Jakarta,1824,http://www.bankmandiri.co.id
517,"Banca Monte dei Paschi di Siena SpA engages in the provision of retail and commercial banking services. It operates through the following business segments: Retail Banking, Wealth Management, Corporate Banking, Larg Corp. And Investment Banking, and Corporate Center. The Retail Banking segment includes sales activities of retail customers. The Wealth Management segment focuses on the sales activities of private banking customers and the subsidiary MPS Fiduciaria. The Corporate Banking segment refers to the sales activities of corporate customers, large corporate area, Foreign Branches and the subsidiaries MPS Capital Services, MPS Leasing & Factoring and the foreign banks BMP Belgio S.A. and MP Banque. The Large Corp. And Investment Banking involves the results of Large Group customers and subsidiary MPS Capital Services. The Corporate Center segment includes the results of the service operations supporting the Group’s business, dedicated to the management and development of information technology systems; companies consolidated at equity and held for sale; and operating units, such as proprietary finance, asset liability management, treasury and capital management. The company was founded in 1472 and is headquartered in Siena, Italy.",Banca MPS,,Banking,Italy,8392,3064.9,284086,33112,395,177,697,16109,1552,Luigi Lovaglio,Chief Executive Officer,Siena,1472,http://www.mps.it
518,"Kioxia Holdings Corp. engages in the supervision and management of its subsidiaries that deals with memory storage business. It also handles the formulation of management strategies for the entire group. The company was founded on March 1, 2019 and is headquartered in Tokyo, Japan.",Kioxia Holdings,,Technology Hardware & Equipment,Japan,15513,3679.6,23195,153054,325,1456,127,,917,Nobuo Hayasaka,Chief Executive Officer,Tokyo,2019,
519,"Naturgy Energy Group SA is engaged in the production and distribution of natural gas and electricity. It operates through the following segments: Gas & Electricity, EMEA Infrastructures, Latin America North Infrastructures, and Latin America South Infrastructures. The Gas & Electricity segment includes the Supply of gas, electricity, and services, International LNG supply, Electricity generation in Europe, and International electricity generation. The EMEA Infrastructures segment includes gas and electricity distribution in Spain and manages Maghreb - Europe gas pipeline. The Latin America North Infrastructures segment includes gas and electricity distribution in Mexico and Panama. The Latin America South Infrastructures segment includes Gas and electricity distribution in Argentina and Gas distribution in Brazil. The company was founded on January 28, 1843 and is headquartered in Madrid, Spain.",Naturgy Energy Group,,Oil & Gas Operations,Spain,21956,2283.1,45922,29542,527,884,781,6764,639,Francisco Miguel Reynés Massanet,Chief Executive Officer,Madrid,1843,http://www.naturgy.com
520,"Fortescue Ltd. engages in the development of iron ore deposits. It operates through the Metals and Energy segments. The Metals segment includes exploration, development, production, processing, sale, and transportation of iron ore, and the exploration for other minerals. The Energy segment is involved in the development of green electricity, green hydrogen, and green ammonia projects. The company was founded by John Andrew Henry Forrest in April 2003 and is headquartered in East Perth, Australia.",Fortescue Metals Group,,Materials,Australia,16337,3733.4,31353,49777,319,1169,478,,867,Dino Otranto,Chief Executive Officer,East Perth,2003,http://www.fmgl.com.au
521,"Wilmar International Ltd. is an investment holding company, which engages in the processing, merchandising, and distribution of agricultural products. It operates through the following segments: Food Products, Feed and Industrial Products, Plantation and Sugar Milling, and Others. The Food Products segment focuses on the processing, branding, and distribution of a wide range of edible food products including vegetable oils, sugar, flour, rice, noodles, specialty fats, snacks, bakery and dairy products, ready-to-eat meals, and central kitchen products. The Feed and Industrial Products segment is involved in the processing, merchandising, and distribution of products, which includes animal feeds, non-edible palm and lauric products, agricultural commodities, oleochemicals, gas oil, and biodiesel. The Plantation and Sugar Milling segment refers to the oil palm plantation and sugar milling activities, which includes the cultivation and milling of palm oil and sugarcane, as well as the production of compound fertilizers. The Others segment includes logistics and jetty port services, and investment activities. The company was founded by Khoon Hong Kuok and Martua Sitorus in 1991 and is headquartered in Singapore.",Wilmar International,,"Food, Drink & Tobacco",Singapore,70370,1408.3,65642,18536,828,645,1190,100000,172,Khoon Hong Kuok,Chief Executive Officer,Singapore,1991,http://www.wilmar-international.com
522,"HP Inc. is an information technology company, which engages in the provision of personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services. It operates through the following segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktop and notebook personal computers, workstations, thin clients, commercial tablets and mobility devices, retail point-of-sale systems, displays and other related accessories, software, support, and services for the commercial and consumer markets. The Printing segment provides consumer and commercial printer hardware, supplies, solutions and services, and scanning devices. The Corporate Investments segment includes HP Labs and certain business incubation projects. The company was founded by William R. Hewlett and David Packard in 1939 and is headquartered in Palo Alto, CA.",HP,California,IT Software & Services,United States,56330,2509,41535,19032,492,959,1162,55000,223,Bruce Dale Broussard,Chief Executive Officer,Palo Alto,1939,http://www.hp.com
523,"Norfolk Southern Corp. is a transportation company, which engages in the rail transportation of raw materials, intermediate products, and finished goods. The company also transports overseas freight through several Atlantic and Gulf Coast ports. Its services include property leases and sales, wire line or pipeline and fiber optics projects, access property, managing private crossings, promoting businesses with signboards, and natural resource management. The company was founded on July 23, 1980, and is headquartered in Atlanta, GA.",Norfolk Southern,Georgia,Transportation,United States,12185,2667,45113,70960,467,899,326,19300,1151,Mark R. George,Chief Executive Officer,Atlanta,1990,http://www.nscorp.com
524,"Lenovo Group Ltd. is an investment holding company, which engages in the development, manufacture and marketing of technology products and services. The firm operates through the following segments: Intelligent Devices Group (IDG), Infrastructure Solutions Group (ISG), and Solutions and Services Group (SSG). Its products include personal computers, workstations, servers, storage, smart televisions, and mobile products such as smartphones, tablets, and applications. The company was founded in 1984 and is headquartered in Hong Kong.",Lenovo Group,,Technology Hardware & Equipment,Hong Kong,78469,1481.2,52632,19676,797,783,1124,72000,148,Yuan Qing Yang,Chief Executive Officer,Hong Kong,1984,http://www.lenovo.com/us/en/lenovo/locations
524,"Republic Services, Inc. engages in the provision of environmental services. It operates through the following segments: Group 1, Group 2, and Group 3. The Group 1 segment focuses on the business of recycling and solid waste in geographic areas located in western United States. The Group 2 segment includes the recycling and solid waste business in geographic areas located in the southeastern and mid-western and the eastern seaboard of the United States. The Group 3 segment includes environmental solutions business in geographic areas located across the United States and Canada. The company was founded in 1996 and is headquartered in Phoenix, AZ.",Republic Services,Arizona,Business Services & Supplies,United States,16696,2170,34600,64093,559,1088,363,42000,842,Jon Vander Ark,Chief Executive Officer,Phoenix,1996,http://www.republicservices.com
526,"Principal Financial Group, Inc. engages in the investment management offering business. It offers financial products and services to businesses, individuals, and institutional clients. It operates its business through the following segments: Retirement and Income Solutions, Principal Asset Management, and Benefits and Protection. The Retirement and Income Solutions Segment offers a comprehensive portfolio of products and services for retirement savings along with select products for retirement income. The Principal Asset Management segment provides global investment solutions to institutional, retirement, retail and high net worth investors in the U.S. and select emerging markets. The Benefits and Protection segment includes selling individual life insurance products. The company was founded by Edward A. Temple in 1879 and is headquartered in Des Moines, IA.",Principal Financial Group,Iowa,Diversified Financials,United States,15459,1561.6,313796,21716,753,154,1031,19700,919,Deanna Dawnette Strable-Soethout,Chief Executive Officer,Des Moines,1879,http://www.principal.com
527,"Citizens Financial Group, Inc. engages in the provision of commercial banking services. It operates through the Consumer Banking and Commercial Banking segments. The Consumer Banking segment includes deposit products, mortgage and home equity lending, student loans, auto financing, credit cards, business loans, and wealth management and investment services. The Commercial Banking segment offers lending and leasing, trade financing, deposit and treasury management, foreign exchange and interest rate risk management, corporate finance, and debt, and equity capital markets. The company was founded in 1828 and is headquartered in Providence, RI.",Citizens Financial Group,Rhode Island,Banking,United States,12144,1975,227918,25737,599,211,890,17398,1158,Bruce Winfield van Saun,Chief Executive Officer,Providence,1828,http://www.citizensbank.com
527,"Vistra Corp. is a holding company, which engages in the provision of electricity and power generation. It operates through the following segments: Retail, Texas, East, West, and Asset Closure. The Retail segment includes sale of electricity and natural gas to residential, commercial, and industrial customers. The Texas and East segments are involved in electricity generation, wholesale energy sales and purchases, commodity risk management activities, fuel production and fuel logistics management. The West segment represents the company's electricity generation operations in CAISO. The Asset Closure segment refers to the decommissioning and reclamation of retired plants and mines. The company was founded in 1882 and is headquartered in Irving, TX.",Vistra Energy,Texas,Utilities,United States,16455,2241,41308,47098,539,965,496,6390,858,James A. Burke,Chief Executive Officer,Irving,,http://www.vistraenergy.com
